"","Municipality","state","Households","HHServedTrash","HHServedRecycling","TrashServiceType","ProvideTrashCart","RecyclingServiceType","ProvRecycleBinorCart","FoodServiceType","MunicipalService","SchoolService","BusinessService","Non-resident Trash and Recycling Service","PropertyTax","AnnualFee","TransferStationAccessFee","Per-VisitFee","PAYT/SMART","EnforceRecycling","RecyclingEnforcePersonnel","Private Hauler regulations that require recycling","SwapShop","ProvideCompostBins","SolidWasteTons","TipFee","Food Waste","Yard Waste","RecyclingTons","YardWasteServiceType"
"88","Framingham","MA","26194","18355","18355","Both","Yes","Both","Yes","None","Both","Both","Recycling","Neither","Yes","No","No","No","No","No","No","No","No","Yes",19047,"Yes",NA,"183.98",6751.52,"Both"
"89","Franklin","MA","10010","9561","9405","Curbside","Yes","Both","Yes","None","Both","Both","Both","Neither","No","Yes","No","No","No","Yes","No","Yes","No","No",7867.28,"Yes",NA,"243",4284.67,"Both"
"90","Freetown","MA","4261","2349","2349","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","No","No","No","Yes","No",1879.46,"Yes",NA,NA,724.89,"Dropoff"
"91","Gardner","MA","8228","6617","6617","Both","Yes","Both","Yes","None","Both","Both","Recycling","Neither","No","Yes","Yes","No","No","No","No","No","No","Yes",4946.13,"Yes",NA,NA,1515.33,"Both"
"92","Gill","MA","513","513","513","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","No","Yes",196.72,"Yes",NA,NA,121.69,NA
"93","Gloucester","MA","13825","12850","12850","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","No","No",7112.63,"Yes","135.19999999999999","600",3461.06,"Both"
"94","Goshen","MA","561","250","250","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","Yes","No","No","Yes","Yes","No","No","No","Yes",133.76,"Yes",NA,NA,66.6,NA
"95","Grafton","MA","6476","5154","5154","Curbside","No","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","No","No","No","No","No",3901.97,"Yes",NA,NA,2436.25,"Dropoff"
"96","Granby","MA","3079","3079","3079","Curbside","No","Curbside","No","None","Both","Both","Recycling","Neither","Yes","No","No","No","Yes","No","No","No","No","No",2024.3,"Yes",NA,"9.99",531.27,"Dropoff"
"97","Granville","MA","562","450","500","Drop-off","No","Drop-off","No","None","Both","Both","Both","Neither","Yes","No","No","No","Yes","No","No","Yes","Yes","No",171.1,"Yes",NA,NA,108.06,NA
"98","Greenfield","MA","5604","5059","5059","Both","No","Both","No","Drop-off","Both","Recycling","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes",3960,"Yes",NA,"31.91",2007.27,"Both"
"100","Hadley","MA","2208","550","550","Drop-off","No","Drop-off","No","None","Neither","Neither","Neither","Neither","No","No","Yes","No","Yes","No","No","No","No","No",275.7,"Yes",NA,NA,184.2,NA
"101","Halifax","MA","3600","2723","3600","Curbside","No","Both","No","None","Both","Both","Neither","Neither","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes",663.37,"Yes",NA,NA,375.75,"Dropoff"
"102","Hamilton","MA","2655","2655","2655","Curbside","Yes","Curbside","No","Curbside","Both","Neither","Both","Neither","Yes","No","No","No","Yes","No","No","No","No","No",1678.79,"Yes","286.49",NA,1221.6,"Both"
"103","Hancock","MA","315","250","250","Drop-off","No","Drop-off","No","None","Both","Both","Both","Neither","Yes","No","Yes","No","No","Yes","No","No","No","Yes",281.09,"Yes",NA,"5.4",87.3,"Dropoff"
"104","Hanover","MA","5000","5000","5000","Drop-off","No","Drop-off","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","Yes","No",5374.38,"Yes",NA,"1500",1550.11,"Dropoff"
"105","Hanson","MA","3815","2000","2000","Drop-off","No","Drop-off","No","None","Neither","Neither","Neither","Neither","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes",748,"Yes",NA,"1000",593.92,"Dropoff"
"106","Harvard","MA","1966","1250","1250","Drop-off","No","Drop-off","No","None","Both","Recycling","Neither","Neither","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No",864.84,"Yes",NA,NA,604.07,NA
"108","Haverhill","MA","21300","20928","20928","Curbside","Yes","Both","No","None","Both","Both","Both","Neither","Yes","No","No","No","No","Yes","Yes","No","No","Yes",22104,"Yes","0","540",8493.18,"Both"
"109","Hawley","MA","166","0","0","None","No","None","No","None","Neither","Neither","Neither","Neither","No","No","No","No","No","No","No","No","No","No",0,"Yes",NA,NA,0,NA
"110","Heath","MA","381","327","327","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",137.64,"Yes",NA,NA,90.72,NA
"111","Hingham","MA","7555","7555","7555","Drop-off","No","Drop-off","No","None","Both","Both","Both","Neither","Yes","No","No","No","No","Yes","No","No","Yes","No",6803.8,"Yes",NA,"3453.25",3194.33,"Dropoff"
"112","Hinsdale","MA","743","619","619","Drop-off","No","Drop-off","No","None","Both","Neither","Recycling","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",409.65,"Yes",NA,NA,111,NA
"113","Holden","MA","7621","5980","5980","Curbside","Yes","Curbside","Yes","Curbside","Both","Neither","Neither","Neither","Yes","No","No","No","No","No","No","No","No","No",4629.87,"Yes",NA,NA,2144.05,"Dropoff"
"114","Holliston","MA","5197","4834","4834","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","No","No","No","No","Yes",3532,"Yes",NA,"64",2038.63,"Both"
"115","Holyoke","MA","16200","9950","9950","Both","No","Both","No","None","Both","Recycling","Recycling","Neither","Yes","No","No","No","No","Yes","Yes","No","No","No",7807,"Yes",NA,NA,948,"Both"
"116","Hudson","MA","6969","1710","1710","Drop-off","No","Drop-off","No","Drop-off","Both","Both","Neither","Neither","No","No","Yes","No","No","No","No","Yes","Yes","No",911.43,"Yes",NA,"193.86",951.17,"Dropoff"
"117","Hull","MA","10400","0","0","None","No","None","No","None","Neither","Neither","Neither","Neither","No","No","No","No","No","No","No","Yes","No","No",0,"Yes","0","0",13,NA
"118","Huntington","MA","955","462","462","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","Yes","No","No","Yes","Yes","No","No","No","Yes",402.92,"Yes",NA,NA,153,NA
"119","Ipswich","MA","6401","5067","5169","Curbside","No","Both","No","Curbside","Both","Both","Recycling","Neither","Yes","No","No","No","Yes","Yes","No","No","No","No",3120.75,"Yes","287.91000000000003","356.4",1949.37,"Both"
"120","Kingston","MA","4751","2953","3046","Drop-off","No","Drop-off","No","None","Recycling","Neither","Neither","Neither","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes",3181,"Yes",NA,"500",1743.07,"Dropoff"
"121","Lakeville","MA","4499","1342","1342","Drop-off","No","Drop-off","No","None","Neither","Neither","Neither","Neither","Yes","Yes","No","No","Yes","No","No","No","Yes","No",988.62,"Yes",NA,NA,334.55,"Dropoff"
"122","Lanesborough","MA","1322","0","1322","None","No","Drop-off","No","None","Recycling","Neither","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",3.64,"Yes",NA,NA,4575.2,NA
"123","Lawrence","MA","30000","21723","21723","Curbside","Yes","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","No",29650,"Yes",NA,NA,4424,"Curbside"
"124","Lee","MA","2265","0","0","None","No","None","No","None","Neither","Neither","Neither","Neither","No","No","No","No","No","No","No","Yes","No","No",0,"Yes",NA,NA,0,NA
"125","Leicester","MA","3603","0","3603","None","No","Drop-off","No","None","Neither","Neither","Neither","Neither","No","Yes","No","No","No","No","No","No","Yes","No",0,"Yes",NA,"60",263.25,"Dropoff"
"126","Leominster","MA","14941","11546","11546","Both","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","Yes",10254,"Yes",NA,"0",3265,"Both"
"127","Leverett","MA","719","651","651","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",287.86,"Yes","42","1",188.69,"Dropoff"
"128","Lexington","MA","12463","11046","11505","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","Yes","No","Yes",9002,"Yes","687","3543",6862,"Both"
"129","Lincoln","MA","1934","1934","1934","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes",896,"Yes","42",NA,565.62,"Dropoff"
"130","Littleton","MA","3102","1751","1751","Drop-off","No","Drop-off","No","None","Neither","Neither","Neither","Neither","No","Yes","No","No","No","No","No","No","Yes","No",6731.79,"Yes",NA,"130",1022.8,"Dropoff"
"131","Longmeadow","MA","5779","5534","5534","Curbside","Yes","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes",3797.41,"Yes",NA,"319.57",1882.67,"Both"
"132","Lowell","MA","38000","25000","25000","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes",26191.81,"Yes","0","261.63",6936.75,"Both"
"133","Ludlow","MA","7156","7080","7080","Both","No","Both","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","No","No","No","No","No",5452,"Yes",NA,"2276",1620,"Dropoff"
"134","Lunenburg","MA","4244","3644","4244","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","No","No","No","No","Yes",1901.44,"Yes",NA,"129",1108.82,"Dropoff"
"135","Lynn","MA","33122","27000","27000","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes",29113.74,"Yes",NA,"583.74",7665.73,"Both"
"136","Lynnfield","MA","4590","4350","4350","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","Yes",4870.9,"Yes",NA,"14.58",1333.91,"Dropoff"
"137","Malden","MA","25000","17100","17100","Curbside","No","Both","No","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","Yes","No","Yes","No","No",12826.55,"Yes",NA,"1760",4286.42,"Both"
"138","Manchester","MA","2413","2413","2413","Both","No","Both","No","Both","Both","Neither","Recycling","Neither","Yes","No","No","No","Yes","Yes","No","No","No","No",1154.81,"Yes","216.88",NA,998.73,"Both"
"139","Mansfield","MA","7912","6831","6831","Curbside","Yes","Curbside","Yes","None","Both","Neither","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",5307,"Yes",NA,NA,2550.4,"None"
"141","Marion","MA","2773","2773","2773","Both","Yes","Both","Yes","None","Both","Both","Recycling","Neither","Yes","No","Yes","No","No","No","No","No","No","No",1549.42,"Yes",NA,"39.78",541.74,"None"
"142","Marlborough","MA","12000","12000","12000","Both","Yes","Both","Yes","Drop-off","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","Yes","No",9194.21,"Yes",NA,NA,3146.73,"Both"
"143","Marshfield","MA","9650","9524","9524","Both","No","Both","Yes","None","Both","Both","Both","Neither","No","Yes","Yes","No","No","No","No","No","Yes","Yes",6141,"Yes",NA,"164",7165.63,"Both"
"144","Mashpee","MA","7074","4624","5124","Drop-off","No","Drop-off","No","Drop-off","Both","Both","Neither","Neither","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes",4052.37,"Yes","12.45","129.6",1202.01,"Dropoff"
"145","Mattapoisett","MA","3600","3600","3600","Both","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","No",2200,"Yes",NA,"108",1621.48,"Dropoff"
"146","Maynard","MA","4166","4166","4166","Curbside","No","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","No","No","No","No","Yes",2385.26,"Yes",NA,"51.84",1042.73,"Curbside"
