"","GovUnit","County (1) or Municipality (2)","Population","RecyclingEnforcePersonnel","TipFee","PAYT/SMART","PropertyTax","PerHouseCharge","HHServedTrash","HHServedRecycling","HHServedYard","RecyclingServiceType","TrashServiceType","FoodServiceType","YardWasteServiceType","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","State","PopulationDensity","Households","MedIncome","AvgIncome","PctLessHS","PctHS","PctBachelororMore","Gini"
"243","JEFFERSON","2","1620","No","No","No","No","No","602","602","602","Curbside","Curbside","None","None","No",NA,"No",320.24,54.76,NA,NA,NA,"NC",779.013645646867,687,30764,39218,14.3,72,13.7,0.427
"244","JONESVILLE","2","2306","No","No","No","No","Yes",NA,NA,NA,"Curbside","Curbside","None","None","Yes",NA,"No",NA,83.86,NA,NA,NA,"NC",799.385037946356,1171,24915,37658,16.9,78.2,4.9,0.4715
"245","KANNAPOLIS","2","53429","No","No","No","Yes","Yes","18851","18851","18851","Curbside","Curbside","None","Curbside","Yes",NA,"No",17634.39,3466.67,9187,0,1,"NC",1633.23414416893,17569,55923,73695,13.5,61.5,24.8,0.4549
"246","KELFORD","2","202","No","No","No","No","Yes","120",NA,NA,"None","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",418.868460929236,156,34688,41059,29,67,4,0.4255
"247","KENANSVILLE","2","764","No","No","No","No","Yes","415","357",NA,"Both","Curbside","None","Curbside","No",NA,"No",377.4,21.56,NA,NA,NA,"NC",363.147058252193,373,39653,49286,10.2,68.9,20.8,0.4228
"248","KENLY","2","1501","No","No","No","Yes","Yes","622",NA,"622","None","Curbside","None","Curbside","Yes",NA,"No",NA,NA,49,0,0,"NC",860.747319291873,834,32833,42254,17.6,71.7,10.6,0.4362
"249","KERNERSVILLE","2","26497","Yes","No","No","Yes","Yes","7154","7154","7154","Both","Curbside","Backyard","Curbside","Yes",NA,"No",6308,1527,NA,NA,9640,"NC",1481.11307011268,10731,56991,75906,9.9,58.1,31.9,0.4564
"250","KILL DEVIL HILLS","2","7674","Yes","No","No","Yes","No","7410","7410","7410","Both","Curbside","Backyard","Curbside","Yes",NA,"No",11951.24,569.25,NA,NA,1200,"NC",1365.98673917006,3287,59389,74369,5.7,58.4,35.8,0.375
"251","KING","2","7190","No","Yes","No","Yes","Yes","2785","2785","2785","Both","Curbside","None","Curbside","Yes",NA,"No",2496,105.32,1001,0,0,"NC",1189.35843181195,2907,66691,78964,10.7,64.5,24.7,0.4376
"252","KINGS MOUNTAIN","2","11172","No","No","No","Yes","Yes","4190",NA,"4190","None","Curbside","None","Curbside","Yes",NA,"No",7913.92,NA,150,0,0,"NC",832.211019614997,4360,38936,51782,15.9,67,17.2,0.4737
"253","KINGSTOWN","2","658","No","No","No","Yes","No","265",NA,NA,"None","Curbside","None","None","No",NA,"No",201.8,NA,NA,NA,NA,"NC",373.766887669926,242,31875,53079,21.1,71.2,7.7,0.5702
"254","KINSTON","2","19873","No","Yes","No","No","Yes","7958","3649","7033","Curbside","Curbside","None","Curbside","Yes",NA,"No",17782.21,637.13,0,2656.69,0,"NC",1078.20298745563,9235,32094,50487,19.8,63.5,16.7,0.5297
