"","GovUnit","County (1) or Municipality (2)","Population","RecyclingEnforcePersonnel","TipFee","PAYT/SMART","PropertyTax","PerHouseCharge","HHServedTrash","HHServedRecycling","HHServedYard","RecyclingServiceType","TrashServiceType","FoodServiceType","YardWasteServiceType","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","State","PopulationDensity","Households","MedIncome","AvgIncome","PctLessHS","PctHS","PctBachelororMore","Gini"
"430","SALUDA","2","628","No","No","No","No","Yes","508","464",NA,"Curbside","Curbside","None","None","Yes",NA,"No",301.57,77.37,NA,NA,NA,"NC",403.758620799081,356,42197,61083,9.1,45.7,45.1,0.4421
"431","SANDY CREEK","2","250","No","No","No","Yes","No",NA,NA,NA,"None",NA,"None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",175.271625592915,101,43125,60091,24.1,70.6,5.3,0.5109
"432","SANDYFIELD","2","427","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",138.623736739677,227,28194,37648,22.6,69.2,8.1,0.4714
"433","SANFORD","2","30398","Yes","No","No","Yes","Yes","9288","9288","9288","Curbside","Curbside","None","Curbside","Yes",NA,"No",10726.83,2295.35,6772.6,0,0,"NC",1037.2344523262,10202,47017,64495,18.4,60.3,21.3,0.4641
"434","SARATOGA","2","352","No","Yes","No","Yes","Yes","194","191",NA,"Curbside","Curbside","None","None","Yes",NA,"No",194.27,14.82,NA,NA,NA,"NC",556.564370648372,158,NA,47044,19,67.1,13.9,0.4257
"435","SAWMILLS","2","5012","Yes","No","No","Yes","Yes","1789","1600",NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",274.06,220.38,17,0,0,"NC",758.916164001613,1848,55296,58989,23.9,65.6,10.4,0.4055
"436","SCOTLAND NECK","2","1633","Yes","No","No","Yes","Yes","862",NA,NA,"None","Curbside","None","Curbside","No",NA,"No",1224.56,NA,NA,NA,NA,"NC",1374.71355085229,963,15404,30371,30.6,56.7,12.8,0.565
"437","SEABOARD","2","535","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",555.566592723293,356,20556,68174,21.8,62.9,15.2,0.6743
"438","SEAGROVE","2","235","No","No","No","Yes","No",NA,NA,NA,"None","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",204.755436454372,187,55694,55471,7.5,68.2,24.2,0.259
"439","SEDALIA","2","677","No","No","No","Yes","No","275","275",NA,"Curbside","Curbside","None","None","No",NA,"No",322.4,75.9,NA,NA,NA,"NC",338.616831226728,190,54643,68355,13.7,66.9,19.4,0.3938
"440","SELMA","2","6368","No","No","No","Yes","Yes","2446","2346","2346","Curbside","Curbside","None","Curbside","Yes",NA,"No",2665.42,281.67,1220,0,0,"NC",1178.38711698255,2561,23161,35503,21.6,66.9,11.5,0.4694
"441","SEVEN DEVILS","2","312","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",140.731835797754,209,74792,92114,2.2,38.3,59.5,0.4173
"442","SEVEN SPRINGS","2","55","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",162.565715385441,14,23750,29929,30,70,0,0.2815
"443","SEVERN","2","189","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",186.932767457296,119,28125,36061,8.4,87.2,4.5,0.3545
"444","SHALLOTTE","2","4210","No","No","No","Yes","No",NA,"1529",NA,"Curbside","Curbside","None","None","Yes",NA,"No",NA,332,NA,NA,NA,"NC",466.741850252095,1880,58306,68987,4.2,71,24.8,0.4729
"445","SHARPSBURG","2","1696","No","No","No","Yes","Yes","922","922","922","Curbside","Curbside","None","Curbside","Yes",NA,"No",663.48,182.12,NA,NA,582.4,"NC",1682.80203511733,622,27429,40931,24.2,62.5,13.3,0.4637
"446","SHELBY","2","21975","Yes","No","No","No","Yes","8150",NA,"7485","None","Curbside","None","Curbside","Yes",NA,"No",9245,NA,5808,0,0,"NC",984.885891629972,8636,39398,53182,13.4,59.8,26.8,0.4684
"447","SILER CITY","2","7733","No","Yes","No","Yes","No","3716","3716","3716","Curbside","Curbside","None","Curbside","Yes",NA,"No",3005.17,780,2017.47,0,0,"NC",1285.47665727116,2912,38977,59611,29.4,57.5,13,0.5232
"448","SIMPSON","2","390","No","No","No","Yes","No","215","215","215","Curbside","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",1056.84268552587,NA,NA,NA,NA,NA,NA,NA
"449","SIMS","2","275","No","No","No","No","Yes","174","170","174","Curbside","Curbside","None","Curbside","Yes",NA,"No",288.4,28.6,NA,NA,NA,"NC",1437.09389998002,157,52552,56910,15.7,54.9,29.5,0.3005
"450","SMITHFIELD","2","11378","Yes","No","No","No","Yes","5023","5023","5023","Both","Both","None","Curbside","Yes",NA,"No",5744.85,109.13,695,0,0,"NC",945.937231013785,5015,34077,55924,20.7,55.1,24.2,0.5374
"451","SNOW HILL","2","1479","No","No","No","No","Yes","802","802","802","Dropoff","Curbside","None","Curbside","No",NA,"No",325.5,35.9,NA,NA,50,"NC",961.245806525799,884,28100,44445,16.8,72.1,11.2,0.4714
"452","SOUTHERN PINES","2","15607","No","Yes","No","Yes","Yes","7356","7356","5883","Curbside","Curbside","None","Curbside","Yes",NA,"No",5634,1282,4353,0,0,"NC",910.720178000778,6188,70549,96801,5.7,39.2,55,0.5101
"453","SOUTHERN SHORES","2","3097","No","No","No","Yes","No","2600","2600","2600","Curbside","Curbside","None","Curbside","No",NA,"No",2821.01,708.96,669.5,0,0,"NC",784.573354628993,1145,106523,152897,1.5,39.9,58.5,0.4325
"454","SOUTHPORT","2","4059","No","No","No","No","Yes","2188","2188","2188","Curbside","Curbside","None","Curbside","No",NA,"No",NA,NA,NA,NA,64,"NC",1017.86515732756,1629,62663,88141,6.1,65.7,28.2,0.4954
"455","SPARTA","2","1831","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",779.532275850595,900,32347,40879,26.6,57.6,15.8,0.4254
"456","SPEED","2","63","No","No","No","Yes","No","38",NA,NA,"None","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",222.554003315616,42,21563,36257,14.9,85.1,0,0.4534
"457","SPENCER","2","3317","Yes","No","No","No","Yes","1311","1311","1311","Dropoff","Curbside","None","Curbside","Yes",NA,"No",1594.45,71.4,2340,0,0,"NC",1072.9589885755,1167,54556,64642,21.7,58.9,19.3,0.4583
"458","SPENCER MOUNTAIN","2","0","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",0,0,NA,NA,NA,NA,NA,NA
"459","SPINDALE","2","4215","No","No","No","Yes","No","1503","1503","1503","Curbside","Curbside","None","Curbside","Yes",NA,"No",1378.55,159.14,NA,NA,80,"NC",778.640833860271,1746,30755,44274,19.1,61.6,19.4,0.4158
"460","SPRING HOPE","2","1310","No","No","No","Yes","Yes","657","657",NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",526.35,48.31,NA,NA,NA,"NC",865.93135058832,621,33482,46475,23.2,61.8,15,0.438
"461","SPRING LAKE","2","11662","Yes","No","No","No","Yes","3536","3536","3536","Curbside","Curbside","None","Curbside","Yes",NA,"No",1978.55,204.63,725.22,0,-78.78,"NC",493.40283206406,4423,39898,52291,7.2,65.4,27.4,0.4526
"462","SPRUCE PINE","2","2194","No","No","No","Yes","No","953",NA,"953","None","Curbside","None","Curbside","No",NA,"No",604.41,NA,NA,NA,280.8,"NC",468.601203079915,952,45435,70831,17.6,63.8,18.7,0.5663
"463","STALEY","2","398","No","No","No","Yes","No",NA,NA,NA,"None","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",343.332025895205,137,50083,50812,10.7,83.1,6.3,0.3307
"464","STALLINGS","2","16180","No","No","No","Yes","No",NA,NA,NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,NA,330.1,0,NA,"NC",1936.51496522716,5511,90012,108727,6.4,46.7,47,0.3755
"465","STANFIELD","2","1586","No","No","No","Yes","No","610","610",NA,"Curbside","Curbside","None","None","Yes",NA,"No",966.92,176.44,NA,NA,NA,"NC",354.799511101435,567,80795,89894,7.7,70.3,22,0.4186
"466","STANLEY","2","3974","No","No","No","Yes","No","1983","1983","0","Curbside","Curbside","None","None","Yes",NA,"No",1001.29,190.73,NA,NA,0,"NC",1474.19731789006,1348,61786,71126,9.2,71.8,19.1,0.3583
"467","STANTONSBURG","2","761","No","No","No","No","Yes","466","428","466","Curbside","Curbside","None","Curbside","Yes",NA,"No",569.93,104.36,200,115,0,"NC",1294.73714935558,237,51458,69349,20.2,61.2,18.6,0.4915
"468","STAR","2","805","No","No","No","No","Yes","331",NA,"331","None","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",622.936684756199,383,32258,49666,29,53.4,17.7,0.3937
"469","STATESVILLE","2","28567","No","Yes","No","Yes","Yes","14850","12320","14850","Curbside","Curbside","None","Curbside","Yes",NA,"No",10500.01,970,3526.72,0,0,"NC",1148.98931575213,10963,42004,59331,13.2,59.8,27.1,0.4549
"470","STEDMAN","2","1277","No","No","No","Yes","No","590","0","0","None","Curbside","None","None","No",NA,"No",580.75,0,NA,NA,0,"NC",756.621798967696,600,83068,94700,2.3,63.8,33.9,0.3511
"471","STEM","2","961","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",635.982176503131,466,73750,100380,9.7,61.8,28.4,0.4367
"472","STOKESDALE","2","5935","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",312.07605432965,1790,90943,115427,4.1,63,32.8,0.4134
"473","STONEVILLE","2","1309","No","No","No","No","Yes","545","545","545","Curbside","Curbside","None","Curbside","No",NA,"No",NA,90.35,NA,NA,124.8,"NC",915.346801635574,491,46250,59637,18.5,71.8,9.7,0.4204
"474","STONEWALL","2","214","No","No","No","Yes","No","319",NA,NA,"None","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",125.397075352889,143,NA,61129,5,92.9,2,0.5709
"475","STOVALL","2","324","No","No","No","Yes","Yes","207",NA,NA,"None","Curbside","None","None","No",NA,"No",189.07,NA,NA,NA,NA,"NC",309.573122298546,122,42222,53295,18.9,66.8,14.3,0.3677
"476","SUGAR MOUNTAIN","2","369","No","No","No","Yes","No","1500",NA,"1500","None","Both","None","Curbside","No",NA,"No",865.99,NA,40,0,0,"NC",150.073884329737,NA,NA,NA,NA,NA,NA,NA
"477","SUMMERFIELD","2","10971","No","No","No","No","Yes",NA,NA,NA,"Curbside","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",415.681641930212,3925,109577,145966,3.8,40.4,55.7,0.4643
"478","SUNSET BEACH","2","4201","Yes","No","No","No","Yes","1364","994","5318","Curbside","Curbside","None","Curbside","Yes",NA,"No",0,452,0,546,0,"NC",602.880197602479,2079,61458,76691,1.1,56.3,42.6,0.4477
"479","SURF CITY","2","3874","No","No","No","No","Yes","4603","4603",NA,"Curbside","Curbside","None","Curbside","No",NA,"No",2705.14,816.93,NA,NA,NA,"NC",509.493758273547,1223,75104,97682,2.1,50.9,47.1,0.4724
"480","SWANSBORO","2","3750","No","No","No","No","Yes","1991","1991",NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",495.3,319.32,145,0,0,"NC",1683.29438360726,1411,66844,78891,7.2,50.1,42.7,0.3915
"481","SWEPSONVILLE","2","2453","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",1718.6686475556,900,65802,77092,9.7,60.3,30,0.3641
"482","SYLVA","2","2578","No","No","No","Yes","No","1715","264","1708","Curbside","Curbside","None","Curbside","No",NA,"No",827.7,44.79,373.77,0,0,"NC",812.848177121252,1031,36637,48194,19.3,41.5,39.1,0.4513
"483","TABOR CITY","2","3762","No","No","No","No","Yes","1172",NA,"1172","None","Curbside","None","Curbside","Yes",NA,"No",970.02,NA,0,360.23,0,"NC",1118.84317201525,997,31968,46712,27.1,66.8,6,0.495
"484","TAR HEEL","2","89","No","No","No","No","No",NA,NA,NA,"None","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",393.781301523473,59,21648,52014,19.8,69.8,10.5,0.5352
"485","TARBORO","2","10685","No","No","No","No","Yes","4145","4145","4145","Both","Curbside","None","Curbside","Yes",NA,"No",5324,71,1100,0,0,"NC",921.774073493768,4763,41223,56959,15.3,59.8,24.9,0.485
"486","TAYLORSVILLE","2","2316","No","No","No","Yes","Yes","1087","913",NA,"Curbside","Curbside","None","None","Yes",NA,"No",857,127,NA,NA,NA,"NC",966.828749532947,879,31920,55219,17,66.7,16.2,0.573
"487","TAYLORTOWN","2","637","No","No","No","Yes","No","343",NA,NA,"None","Drop-off","None","None","No",NA,"No",302.16,NA,NA,NA,NA,"NC",472.922129508357,407,52917,67514,15.8,64.3,19.9,0.3978
"488","TEACHEY","2","444","No","No","No","No","Yes","179",NA,NA,"None","Curbside","None","None","Yes",NA,"No",154.77,NA,NA,NA,NA,"NC",432.798017998031,208,42381,43845,17.1,71.8,11.1,0.2997
"489","THOMASVILLE","2","27223","No","No","No","Yes","Yes","11070","11070","11070","Curbside","Curbside","None",NA,"Yes",NA,"No",14084,494,2931,0,1,"NC",1623.26060353802,10850,42257,52631,19.7,66.4,13.8,0.3975
"490","TOBACCOVILLE","2","2583","No","No","No","Yes","No","1179","1179","0","Curbside","Curbside","None","None","Yes",NA,"No",1019.39,186.51,NA,NA,0,"NC",337.64382174611,NA,NA,NA,NA,NA,NA,NA
"491","TOPSAIL BEACH","2","462","No","No","No","Yes","Yes","1382","1382","1382","Dropoff","Curbside","None","Curbside","Yes",NA,"No",937.39,129.42,0,85,0,"NC",105.234661493407,219,79375,134068,4.9,33.3,61.8,0.5475
"492","TRENT WOODS","2","4066","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",1367.91314480243,1648,99052,143321,2.8,41.3,56,0.445
"493","TRENTON","2","237","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",1043.82081723418,94,33750,56255,20.7,66.9,12.4,0.4396
"494","TRINITY","2","7015","No","No","No","No","Yes","2126",NA,NA,"None","Curbside","None","None","Yes",NA,"No",2767.78,NA,NA,NA,NA,"NC",415.596399216716,2663,58709,74981,12.1,68.7,19.1,0.4465
"495","TROUTMAN","2","3718","No","No","No","Yes","Yes","1811","1811","1811","Curbside","Curbside","None","Curbside","Yes",NA,"No",1792,261,1837.5,0,0,"NC",647.227509019099,988,62800,85718,6.5,58.3,35.2,0.4551
"496","TROY","2","2848","No","No","No","Yes","Yes",NA,NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",778.208120621631,1123,32102,46123,15.3,72.2,12.5,0.48
"497","TRYON","2","1553","No","No","Yes","Yes","Yes","803","803","803","Curbside","Curbside","None","Curbside","No",NA,"No",805.5,121.32,168.67,40,0,"NC",777.51786570889,838,45403,55880,4.6,41.3,54.1,0.4227
"498","TURKEY","2","212","No","No","No","No","Yes","136","136",NA,"Curbside","Curbside","None","None","No",NA,"No",166.44,18.2,NA,NA,NA,"NC",534.696808713257,134,NA,44646,11.8,85.2,3.1,0.3885
"499","UNIONVILLE","2","6671","No","No","No","No","No",NA,NA,NA,"None",NA,"None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",228.323194531687,2905,78776,88855,8.8,65.3,25.8,0.3917
"500","VALDESE","2","4677","No","No","No","Yes","Yes","1711","1711","1711","Curbside","Curbside","None","Curbside","Yes",NA,"No",1391.29,282.35,NA,NA,852,"NC",595.065544194427,1616,58485,69370,15.4,57.6,27,0.4131
"501","VANCEBORO","2","867","Yes","No","No","No","Yes","443",NA,"443","None","Curbside","None","Curbside","Yes",NA,"No",367,NA,405.39,0,0,"NC",505.775131404678,448,40625,46367,14.4,73.4,12.1,0.403
"502","VANDEMERE","2","246","No","No","No","Yes","Yes","109",NA,NA,"None","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",161.600816487803,121,32917,59329,15.7,74.3,9.9,0.5418
"503","VARNAMTOWN","2","528","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",598.76724026828,295,60280,56947,9.2,77.9,13,0.3329
"504","VASS","2","956","No","No","No","No","Yes","511",NA,"511","None","Curbside","None","Curbside","Yes",NA,"No",516.23,NA,NA,NA,10.4,"NC",294.64058232572,305,36506,53261,12,71.3,16.6,0.3861
"505","WACO","2","311","No","No","No","Yes","No","131","131",NA,"Curbside","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",371.257199333385,117,33906,44079,24.7,65.3,10,0.4564
"506","WADE","2","638","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",366.663763017564,268,42500,58648,5.7,78.3,16,0.5265
"507","WADESBORO","2","5002","No","No","No","Yes","Yes","1952",NA,"1952","None","Curbside","None","Curbside","Yes",NA,"No",3239,NA,1200,0,50,"NC",758.35528100537,2148,25354,42249,24.1,66.5,9.4,0.4792
"508","WAGRAM","2","612","No","No","No","No","Yes","356",NA,NA,"Curbside","Curbside","None","None","Yes",NA,"No",339,NA,NA,NA,NA,"NC",420.030904244926,376,44000,53468,11.6,73.9,14.4,0.4287
"509","WAKE FOREST","2","48062","No","No","No","Yes","Yes","15691","15961","15691","Curbside","Curbside","None","Curbside","Yes",NA,"No",12946.36,3583.56,2717,0,-20.8600000000001,"NC",2663.19078126216,15734,100162,112322,2.9,41.7,55.5,0.3664
"510","WALKERTOWN","2","5702","No","No","No","Yes","No","2248","2248",NA,"Curbside","Curbside","None","None","Yes",NA,"No",1429,215,NA,NA,NA,"NC",851.247291738272,2053,48494,61290,10.8,62.5,26.7,0.4106
"511","WALLACE","2","3384","No","No","No","No","Yes","1260",NA,"1260","None","Curbside","None","None","Yes",NA,"No",4452.8,NA,NA,NA,176.23,"NC",1102.30861921208,1554,40645,52325,25.8,57,17.1,0.4043
"512","WALLBURG","2","3056","No","No","No","No","No",NA,NA,NA,"Curbside","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",546.634282432978,1223,74122,83827,3,65.7,31.3,0.3566
"513","WALNUT COVE","2","1584","No","No","No","No","Yes","574","574",NA,"Curbside","Curbside","None","None","Yes",NA,"No",NA,62.23,NA,NA,NA,"NC",628.005370362577,904,37453,46442,7.9,76.3,15.7,0.4373
"514","WALNUT CREEK","2","1081","No","No","No","Yes","No",NA,"465",NA,"Curbside","Curbside","Backyard","Dropoff","No",NA,"No",NA,118.7,NA,NA,0,"NC",508.506196320501,NA,NA,NA,NA,NA,NA,NA
"515","WALSTONBURG","2","193","No","No","No","Yes","Yes","110","103","110","Dropoff","Curbside","None","Curbside","Yes",NA,"No",113.78,2.61,10.15,0,0.85,"NC",474.298284756668,81,44375,53691,14.1,69.2,16.7,0.3916
"516","WARRENTON","2","849","No","No","No","Yes","Yes","476",NA,NA,"None","Curbside","None","Dropoff","No",NA,"No",301,NA,0,229.79,-4,"NC",782.483216463677,540,38500,54980,16,56.3,27.7,0.4797
"517","WARSAW","2","2709","Yes","No","No","No","Yes","1200","350","1200","Curbside","Curbside","None","Curbside","Yes",NA,"No",2331.21,19.27,866,0,0,"NC",850.154743702633,1153,28589,40685,22.1,67.7,10.1,0.3982
"518","WASHINGTON","2","9848","Yes","Yes","No","No","Yes","4632","4632","4632","Curbside","Curbside","None","Curbside","Yes",NA,"No",7867.17,271.03,0,1248,0,"NC",1202.48364738187,4193,37109,57896,13.8,64.4,21.9,0.5387
"519","WASHINGTON PARK","2","391","No","No","No","Yes","No","217",NA,"217","None","Curbside","None","Curbside","No",NA,"No",207.43,NA,0,207.43,-26.73,"NC",1480.55794921746,292,80893,89226,4.6,39.7,55.7,0.3997
"520","WATHA","2","181","No","No","No","Yes","Yes","92","92",NA,"Dropoff","Drop-off","None","None","No",NA,"No",115,3.07,NA,NA,NA,"NC",133.113851060906,93,35179,44701,14.3,74.8,10.8,0.3962
"521","WAXHAW","2","20622","No","No","No","Yes","No","6642","2000","6642","Curbside","Curbside","None","Curbside","Yes",NA,"No",7292,1544,609,0,0,"NC",1703.93122920363,4874,116964,131656,2.6,42.9,54.6,0.3572
"522","WAYNESVILLE","2","10144","Yes","No","No","Yes","Yes","4543","4543","4543","Curbside","Curbside","None","Curbside","No",NA,"No",2793.09,520,NA,NA,2000,"NC",1145.7332194883,4675,40911,57822,17.9,54.1,28,0.4662
"523","WEAVERVILLE","2","4580","No","No","No","Yes","Yes","2055","2055","2055","Curbside","Curbside","None","Curbside","No",NA,"No",1443,532,783,0,0,"NC",1190.09366481787,1818,71806,88748,2.8,38.4,58.9,0.3831
"524","WEBSTER","2","372","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",372.80493277021,124,51250,74300,1.9,41.9,56.2,0.5174
"525","WEDDINGTON","2","13237","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",755.218420245728,3423,144718,192966,4.5,33.4,62.1,0.4093
"526","WELDON","2","1437","No","No","No","Yes","Yes","757",NA,"757","None","Curbside","None","Curbside","Yes",NA,"No",941,NA,NA,NA,347,"NC",492.799288927321,624,38333,52513,17.7,60.2,22.1,0.4433
"527","WENDELL","2","9901","No","No","No","No","Yes","4353","4307","4307","Both","Curbside","None","Curbside","Yes",NA,"No",3866.06,567.87,315.49,0,0,"NC",1718.94187579674,2830,62857,80594,9.1,61.4,29.6,0.4056
"528","WENTWORTH","2","2664","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",187.706623503666,979,56685,62838,17,68.6,14.4,0.4009
"529","WESLEY CHAPEL","2","8718","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",901.692500520956,NA,NA,NA,NA,NA,NA,NA
"530","WEST JEFFERSON","2","1335","No","No","No","No","No","609",NA,NA,"None","Curbside","None","Curbside","No",NA,"No",466.18,NA,65,0,NA,"NC",596.978143462311,640,32273,46497,17.4,70.5,12.2,0.425
"531","WHISPERING PINES","2","5007","No","No","No","Yes","No","1609","1609","1609","Curbside","Curbside","None","Curbside","No",NA,"No",1371,315,628,0,0,"NC",1342.98463335591,NA,NA,NA,NA,NA,NA,NA
"532","WHITAKERS","2","626","No","No","No","Yes","No",NA,NA,NA,"Curbside","Curbside","None","Curbside","No",NA,"No",NA,NA,NA,NA,NA,"NC",762.86084105815,259,32054,42102,24.5,64.3,11.3,0.4172
"533","WHITE LAKE","2","837","Yes","No","No","No","Yes","1002","1002","883","Curbside","Curbside","None","Curbside","Yes",NA,"No",992.13,47.7,78.21,0,0,"NC",817.080529563809,437,51827,72426,15.2,55.5,29.3,0.5089
"534","WHITEVILLE","2","4730","No","No","No","Yes","Yes","1712","1654","1712","Curbside","Curbside","None","Curbside","Yes",NA,"No",1959.29,201.06,967.36,0,-193.45,"NC",853.332629461624,2060,31772,51101,9,67.8,23.1,0.5081
"535","WHITSETT","2","585","No","No","No","Yes","Yes","282","282",NA,"Curbside","Curbside","None","None","Yes",NA,"No",275.72,65.27,NA,NA,NA,"NC",226.389916981092,292,56500,72901,8,67.5,24.5,0.4049
"536","WILKESBORO","2","3680","No","No","No","Yes","No","1338","798",NA,"Both","Curbside","None","Curbside","Yes",NA,"No",1365,136.23,NA,NA,180,"NC",582.707513068458,1415,36314,51465,19.9,54.3,25.7,0.4527
"537","WILLIAMSTON","2","5225","No","No","No","Yes","No","5488",NA,"5488","None","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,1364,"NC",1158.23776357449,2183,36458,57934,18.3,65.7,16,0.5695
"538","WILMINGTON","2","115465","Yes","No","Yes","No","Yes","28870","28870","28870","Curbside","Curbside","Backyard","Curbside","Yes",NA,"Yes",29932,7232,9103.08,0,-0.0799999999999272,"NC",2246.1780570304,53830,51137,77843,7,49.1,43.9,0.5254
"539","WILSON","2","47769","No","No","No","Yes","Yes","21205","21205","21205","Curbside","Curbside","None","Curbside","Yes",NA,"No",24275,1958,11394,0,-1200,"NC",1539.24955634291,19463,43126,59757,18.3,58.9,22.8,0.4858
"540","WINDSOR","2","3573","No","No","No","Yes","Yes","1063","276","1063","Curbside","Curbside","None","Curbside","Yes",NA,"No",2254,10.2,NA,NA,15,"NC",1269.06610754719,1054,32311,52015,27.5,56.8,15.7,0.6004
"541","WINFALL","2","553","No","No","No","Yes","Yes","201","201","0","Curbside","Curbside","None","None","No",NA,"No",NA,32.86,NA,NA,0,"NC",239.637087692699,359,NA,87054,11,72.7,16.3,0.472
"542","WINGATE","2","4065","No","No","No","No","Yes","809","809","809","Curbside","Curbside","None","Curbside","Yes",NA,"No",712.4,192.14,169,0,0,"NC",1821.63122824041,1050,52672,67973,18.9,54.3,26.8,0.4874
"543","WINSTON-SALEM","2","249986","Yes","Yes","No","Yes","No","81589","81589","81589","Both","Curbside","None","Curbside","Yes",NA,"No",73400.55,11439.88,NA,NA,37889.1,"NC",1884.16166445693,96611,47269,71747,12.1,53.7,34.2,0.5091
"544","WINTERVILLE","2","10450","No","No","No","Yes","Yes",NA,NA,NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",2127.92079925333,4143,68525,90727,6.4,48.1,45.6,0.4502
"545","WINTON","2","623","No","No","No","No","No","287",NA,NA,"None","Curbside","None","None","No",NA,"No",307,NA,NA,NA,NA,"NC",740.537954696944,296,40341,44392,20.2,62.7,17.1,0.4427
"546","WOODFIN","2","7957","No","No","No","Yes","No","3100","2400","3100","Curbside","Curbside","None","Curbside","No",NA,"No",1928.37,554.89,NA,NA,2806,"NC",865.77396382081,2495,50794,76670,14.5,48.5,37,0.5077
"547","WOODLAND","2","550","No","No","No","Yes","No",NA,NA,"785","None","Curbside","None","Curbside","No",NA,"No",NA,NA,NA,NA,10.2,"NC",439.458549001164,358,37083,44801,12.5,73.7,13.8,0.4921
"548","WRIGHTSVILLE BEACH","2","2473","Yes","No","Yes","No","Yes","2802","2802","2802","None","Curbside","None","Curbside","Yes",NA,"No",3936.88,41.87,114.82,0,0,"NC",1773.27932689786,1177,105707,150179,1.9,29.9,68.1,0.5013
"549","YADKINVILLE","2","2993","No","Yes","No","Yes","Yes","1018","1018",NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",909.52,173.49,150,0,NA,"NC",1021.32192263583,1174,39643,49759,15.1,70.5,14.4,0.3867
"550","YANCEYVILLE","2","1934","No","No","No","Yes","Yes","615",NA,NA,"None","Curbside","None","None","No",NA,"No",530,NA,NA,NA,NA,"NC",279.206629010943,1208,22892,31099,24.7,67.3,8,0.4485
"551","YOUNGSVILLE","2","2026","No","No","No","No","Yes","528","274","528","Curbside","Curbside","None","Curbside","Yes",NA,"No",371.58,27.5,0,102.51,0,"NC",1105.00236938252,905,55972,73178,11.6,60.4,28.1,0.3949
"552","ZEBULON","2","6969","No","No","No","Yes","Yes","2746","2720","2746","Curbside","Curbside","Backyard","Curbside","Yes",NA,"Yes",2509.97,342.69,NA,NA,1783.6,"NC",1328.41437998755,1958,39963,58238,30.5,49.6,20,0.457
