"","State","GovUnit","Type","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","FoodWaste","Households","HHServedTrash","HHServedRecycling","HHServedYard","TrashServiceType","RecyclingServiceType","YardWasteServiceType","FoodService","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","EnforceRecycling","RecyclingEnforcePersonnel","Private Hauler regulations that require recycling","SwapShop","PropertyTax","AnnualFee","TransferStationAccessFee","Per-VisitFee","PAYT/SMART","TipFee","CurbsideFee","DropoffFee","PerHouseCharge","Population","PopulationDensity","MedIncome","AvgIncome","Gini","PctLessHS","PctHS","PctBachelororMore"
"778","NC","SANDYFIELD","Municipality",NA,NA,NA,NA,NA,NA,227,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,427,138.623736739677,28194,37648,0.4714,22.6,69.2,8.1
"779","NC","SANFORD","Municipality",10726.83,2295.35,6772.6,0,0,NA,10202,9288,9288,9288,-1,-1,-1,0,1,NA,0,NA,1,NA,NA,1,NA,NA,NA,0,0,NA,NA,1,30398,1037.2344523262,47017,64495,0.4641,18.4,60.3,21.3
"780","NC","SARATOGA","Municipality",194.27,14.82,NA,NA,NA,NA,158,194,191,0,-1,-1,NA,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,1,NA,NA,1,352,556.564370648372,NA,47044,0.4257,19,67.1,13.9
"781","NC","SAWMILLS","Municipality",274.06,220.38,17,0,0,NA,1848,1789,1600,NA,-1,-1,-1,0,1,NA,0,NA,1,NA,NA,1,NA,NA,NA,0,0,NA,NA,1,5012,758.916164001613,55296,58989,0.4055,23.9,65.6,10.4
"782","NC","SCOTLAND NECK","Municipality",1224.56,NA,NA,NA,NA,NA,963,862,0,NA,-1,NA,-1,0,0,NA,0,NA,1,NA,NA,1,NA,NA,NA,0,0,NA,NA,1,1633,1374.71355085229,15404,30371,0.565,30.6,56.7,12.8
"783","NC","SEABOARD","Municipality",NA,NA,NA,NA,NA,NA,356,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,535,555.566592723293,20556,68174,0.6743,21.8,62.9,15.2
"784","NC","SEAGROVE","Municipality",NA,NA,NA,NA,NA,NA,187,NA,0,0,-1,NA,NA,0,0,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,235,204.755436454372,55694,55471,0.259,7.5,68.2,24.2
"785","NC","SEDALIA","Municipality",322.4,75.9,NA,NA,NA,NA,190,275,275,0,-1,-1,NA,0,0,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,677,338.616831226728,54643,68355,0.3938,13.7,66.9,19.4
"786","NC","SELMA","Municipality",2665.42,281.67,1220,0,0,NA,2561,2446,2346,2346,-1,-1,-1,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,1,6368,1178.38711698255,23161,35503,0.4694,21.6,66.9,11.5
"787","NC","SEVEN DEVILS","Municipality",NA,NA,NA,NA,NA,NA,209,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,312,140.731835797754,74792,92114,0.4173,2.2,38.3,59.5
"788","NC","SEVEN SPRINGS","Municipality",NA,NA,NA,NA,NA,NA,14,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,55,162.565715385441,23750,29929,0.2815,30,70,0
"789","NC","SEVERN","Municipality",NA,NA,NA,NA,NA,NA,119,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,189,186.932767457296,28125,36061,0.3545,8.4,87.2,4.5
"790","NC","SHALLOTTE","Municipality",NA,332,NA,NA,NA,NA,1880,NA,1529,0,-1,-1,NA,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,4210,466.741850252095,58306,68987,0.4729,4.2,71,24.8
"791","NC","SHARPSBURG","Municipality",663.48,182.12,NA,NA,582.4,NA,622,922,922,922,-1,-1,-1,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,1,1696,1682.80203511733,27429,40931,0.4637,24.2,62.5,13.3
"792","NC","SHELBY","Municipality",9245,NA,5808,0,0,NA,8636,8150,0,7485,-1,NA,-1,0,1,NA,0,NA,1,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,21975,984.885891629972,39398,53182,0.4684,13.4,59.8,26.8
"793","NC","SILER CITY","Municipality",3005.17,780,2017.47,0,0,NA,2912,3716,3716,3716,-1,-1,-1,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,1,NA,NA,0,7733,1285.47665727116,38977,59611,0.5232,29.4,57.5,13
"794","NC","SIMPSON","Municipality",NA,NA,NA,NA,NA,NA,NA,215,215,0,-1,-1,NA,0,0,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,390,1056.84268552587,NA,NA,NA,NA,NA,NA
"795","NC","SIMS","Municipality",288.4,28.6,NA,NA,NA,NA,157,174,170,174,-1,-1,-1,0,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,275,1437.09389998002,52552,56910,0.3005,15.7,54.9,29.5
"796","NC","SMITHFIELD","Municipality",5744.85,109.13,695,0,0,NA,5015,5023,5023,5023,0,0,-1,0,1,NA,0,NA,1,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,11378,945.937231013785,34077,55924,0.5374,20.7,55.1,24.2
"797","NC","SNOW HILL","Municipality",325.5,35.9,NA,NA,50,NA,884,802,802,802,-1,1,-1,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,1479,961.245806525799,28100,44445,0.4714,16.8,72.1,11.2
"798","NC","SOUTHERN PINES","Municipality",5634,1282,4353,0,0,NA,6188,7356,7356,5883,-1,-1,-1,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,1,NA,NA,1,15607,910.720178000778,70549,96801,0.5101,5.7,39.2,55
"799","NC","SOUTHERN SHORES","Municipality",2821.01,708.96,669.5,0,0,NA,1145,2600,2600,2600,-1,-1,-1,0,0,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,3097,784.573354628993,106523,152897,0.4325,1.5,39.9,58.5
"800","NC","SOUTHPORT","Municipality",NA,NA,NA,NA,64,NA,1629,2188,2188,2188,-1,-1,-1,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,4059,1017.86515732756,62663,88141,0.4954,6.1,65.7,28.2
"801","NC","SPARTA","Municipality",NA,NA,NA,NA,NA,NA,900,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,1831,779.532275850595,32347,40879,0.4254,26.6,57.6,15.8
"802","NC","SPEED","Municipality",NA,NA,NA,NA,NA,NA,42,38,0,0,-1,NA,NA,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,63,222.554003315616,21563,36257,0.4534,14.9,85.1,0
"803","NC","SPENCER","Municipality",1594.45,71.4,2340,0,0,NA,1167,1311,1311,1311,-1,1,-1,0,1,NA,0,NA,1,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,3317,1072.9589885755,54556,64642,0.4583,21.7,58.9,19.3
"804","NC","SPENCER MOUNTAIN","Municipality",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
