"","State","GovUnit","Type","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","FoodWaste","Households","HHServedTrash","HHServedRecycling","HHServedYard","TrashServiceType","RecyclingServiceType","YardWasteServiceType","FoodService","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","EnforceRecycling","RecyclingEnforcePersonnel","Private Hauler regulations that require recycling","SwapShop","PropertyTax","AnnualFee","TransferStationAccessFee","Per-VisitFee","PAYT/SMART","TipFee","CurbsideFee","DropoffFee","PerHouseCharge","Population","PopulationDensity","MedIncome","AvgIncome","Gini","PctLessHS","PctHS","PctBachelororMore"
"173","MA","Middleborough","Municipality",5145,2159.83,NA,NA,370,NA,7362,6395,6395,0,0,0,NA,0,1,1,1,0,0,1,0,0,1,1,0,1,1,NA,NA,NA,NA,364.7163,77450,104182.09000302,0.4475,6.23090353557399,68.4199039720646,25.3491924923614
"174","MA","Middlefield","Municipality",141.69,50.99,NA,NA,NA,NA,269,164,164,NA,1,1,NA,0,0,0,1,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,15.06305,63750,86700,0.465,5.59006211180124,64.5962732919255,29.8136645962733
"175","RI","Middletown","Municipality",3009,2430,NA,NA,NA,NA,NA,4545,4545,NA,-1,-1,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,NA,NA,1258.47,81094,99710.758377425,0.4286,5.22219432588501,47.0918068457612,47.6859988283538
"176","MA","Milford","Municipality",9987,3300,NA,NA,NA,NA,11500,9000,9000,NA,-1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1961.546,86203,99985.4754157628,0.3979,12.3966540219823,53.1514444120222,34.4519015659955
"177","MA","Millis","Municipality",462.09,287.53,NA,NA,NA,NA,3656,945,945,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,688.7858,114255,135612.122186495,0.3733,3.52077423660938,48.1228099449358,48.3564158184549
"178","MA","Milton","Municipality",6967.34,3914.96,NA,NA,373.03,NA,9555,8937,9395,NA,-1,0,-1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,2120.536,141050,182999.676524954,0.461,4.99403442986194,32.5151980001136,62.4907675700244
"180","MA","Monroe","Municipality",53.83,26.45,NA,NA,NA,NA,73,73,73,NA,-1,-1,NA,0,0,0,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,9.35692,NA,68856.25,0.4802,0,90.1408450704225,9.85915492957746
"181","MA","Monson","Municipality",2543.97,442.12,NA,NA,NA,NA,2962,2689,2689,NA,-1,-1,NA,0,0,0,1,1,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,198.4225,76612,103652.177577971,0.4404,9.26261710486552,64.4001208824418,26.3372620126927
"182","MA","Montague","Municipality",1609.97,595.53,NA,NA,100,NA,2625,2625,2625,NA,-1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,273.6802,59364,68760.553633218,0.3993,7.30744949494949,64.4097222222222,28.2828282828283
"183","MA","Monterey","Municipality",353.17,288.65,NA,NA,NA,NA,902,600,600,NA,1,1,NA,1,0,0,1,1,0,0,1,1,0,1,0,0,1,NA,NA,NA,NA,27.34956,109531,160077.118644068,0.4459,7.33652312599681,27.9106858054226,64.7527910685805
"184","RI","Narragansett","Municipality",4850,3277,NA,NA,NA,NA,NA,7977,7977,NA,0,0,NA,1,0,1,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,0,NA,NA,1114.358,78761,117001.693105552,0.5592,2.44374299969453,42.327665207209,55.2285917930964
"185","MA","Natick","Municipality",6092.04,5373.35,NA,NA,334.8,NA,13440,10600,10600,NA,-1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,2409.558,115652,151522.903117667,0.4421,3.00391314355866,29.7705823678355,67.2255044886058
"186","MA","Needham","Municipality",3259,8453.61,NA,NA,88.56,0,8402,5400,5400,NA,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,2535.136,174707,231932.577798421,0.4738,2.10403839627672,19.7702041014205,78.1257575023028
"187","MA","New Ashford","Municipality",NA,1468.73,NA,NA,NA,NA,95,0,51,NA,NA,1,NA,0,0,0,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,18.05278,71250,82149.0384615385,0.4073,4,69,27
"188","MA","New Bedford","Municipality",32831.37,8912.67,NA,NA,5237.54,NA,38888,36394,36394,NA,-1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,4767.667,48999,64109.0248086229,0.4552,22.8123625855895,60.2707456498524,16.9168917645581
"189","MA","New Salem","Municipality",186.01,105.78,NA,NA,NA,4,426,228,228,NA,1,1,NA,1,0,0,1,1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,23.83933,68582,85270.2355460385,0.4062,5.42099192618224,64.4752018454441,30.1038062283737
"190","RI","New Shoreham","Municipality",3253,978,NA,NA,NA,NA,NA,858,858,NA,1,1,NA,1,0,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,0,NA,NA,95.90772,72500,78416.25,0.3257,2.28310502283105,51.2937595129376,46.4231354642314
"191","MA","Newburyport","Municipality",5641.58,2620.1,NA,NA,487.08,227.18,9950,7514,7514,NA,-1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,2179.225,110740,144786.628925731,0.449,2.76616764191808,34.8962687134281,62.3375636446538
"192","RI","Newport","Municipality",6504,4684,NA,NA,NA,NA,NA,10100,10100,NA,0,0,NA,1,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,0,NA,NA,3225.913,68201,99434.1679085941,0.5135,5.65794862793283,40.9572289509098,53.3848224211573
"193","MA","Newton","Municipality",18690.06,10337.24,NA,NA,1949.4,NA,33500,28500,28500,NA,-1,0,-1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,4954.194,154398,207916.959292496,0.472,2.65014332057466,18.6299582911382,78.7198983882872
"194","MA","Norfolk","Municipality",916,424.87,NA,NA,455,NA,3869,1270,1270,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,796.1625,159914,179734.916559692,0.3622,7.9232693911593,41.2963183605385,50.7804122483022
"195","MA","North Andover","Municipality",8864,2729.19,NA,NA,NA,NA,11607,8311,8311,NA,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1189.419,113916,155180.554070907,0.4629,2.75188637372392,36.0063125708931,61.241801055383
"196","MA","North Attleborough","Municipality",5369.13,3098.89,NA,NA,675,NA,11071,9002,9028,NA,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,NA,NA,NA,NA,1552.915,91994,115571.494212247,0.4353,6.31395179671209,51.9421948499103,41.7438533533776
"197","MA","North Brookfield","Municipality",640,182.7,NA,NA,110,NA,2053,1077,1077,NA,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,NA,NA,NA,NA,224.4603,73208,93265.1013874066,0.3969,7.21329952099183,68.160045083122,24.6266553958862
"199","RI","North Kingstown","Municipality",6674,5941,NA,NA,NA,NA,NA,10486,10486,NA,0,0,NA,0,0,1,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,0,NA,NA,608.97,99178,118751.426375949,0.4255,4.0907380530022,47.2074396602698,48.7018222867279
"200","RI","North Providence","Municipality",10986,5249,NA,NA,NA,NA,NA,12545,12545,NA,-1,-1,NA,NA,1,1,0,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,NA,NA,5771.822,65027,78023.2424572883,0.4273,8.65714876888061,60.1531140078626,31.1897372232568
"201","MA","North Reading","Municipality",4523,288.3,NA,NA,NA,NA,5370,4363,4363,NA,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,1191.171,123042,162654.378434066,0.446,3.22406340057637,41.8047550432277,54.971181556196
"202","RI","North Smithfield","Municipality",3508,2168,NA,NA,NA,NA,NA,4100,4100,NA,-1,-1,NA,1,0,1,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,0,NA,NA,522.1091,81195,98955.2317344667,0.4382,7.61904761904762,63.7229437229437,28.6580086580087
"204","MA","Northampton","Municipality",907.28,884.74,NA,NA,262,201.37,12065,3003,3003,NA,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,NA,NA,NA,NA,833.7361,71866,96771.7582804792,0.4705,6.52229956174272,32.6733694251096,60.8043310131477
"205","MA","Northborough","Municipality",2097,1174.86,NA,NA,461.97,NA,5949,4953,4953,NA,-1,-1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,NA,NA,NA,NA,814.3973,140600,194670.51800147,0.4754,2.77963511319133,31.4547712293438,65.7655936574649
"206","MA","Northfield","Municipality",393.64,269.01,NA,NA,NA,63,1145,825,825,NA,1,1,NA,1,0,0,1,1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,86.76949,75900,97112.1283255086,0.4223,6.65105386416862,48.1967213114754,45.152224824356
"207","MA","Norwell","Municipality",2806,1750.3,NA,NA,311.04,NA,3680,3567,3567,NA,-1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,531.2685,162091,192809.917590225,0.4002,1.55339805825243,32.0527045769764,66.3938973647711
"208","MA","Norwood","Municipality",10616.97,3722.99,NA,NA,164.7,12,13381,9639,9639,NA,-1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2836.985,90341,115978.226536152,0.4455,6.30884253276721,43.575779952003,50.1153775152298
"209","MA","Oak Bluffs","Municipality",759.33,261.87,NA,NA,NA,6.1,3035,2831,1894,NA,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,645.0621,90313,127265.509877202,0.4967,3.68436321438932,50.9138381201044,45.4017986655062
"210","MA","Oakham","Municipality",NA,NA,NA,NA,NA,NA,810,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,78.57497,85326,103528.064516129,0.3612,3.48376880443389,57.5613618368963,38.9548693586698
"212","MA","Orange","Municipality",734.71,297.18,NA,NA,100,8,2475,1170,1170,NA,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,NA,NA,NA,NA,217.608,54113,67630.2989586832,0.4021,8.68086629676034,71.3441918739932,19.9749418292465
"214","MA","Palmer","Municipality",NA,95,NA,NA,NA,NA,4255,0,4255,NA,NA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,387.5471,68694,81315.8442088091,0.4029,11.2669734036584,62.4396812927842,26.2933453035574
"216","RI","Pawtucket","Municipality",27473,9989,NA,NA,NA,NA,NA,30000,30000,NA,0,-1,NA,0,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,8286.545,52902,68335.7524280543,0.4354,18.0112237865511,58.9091267106429,23.0796495028059
"217","MA","Paxton","Municipality",1524.35,165.85,NA,NA,NA,NA,1592,1592,1592,NA,-1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,337.7417,116313,144398.581122764,0.3657,2.80289330922242,42.2242314647378,54.9728752260398
"218","MA","Peabody","Municipality",16398.69,3668.52,NA,NA,1155.29,NA,17394,14000,14000,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,3264.586,80681,99522.2459068438,0.435,9.1513029148213,56.2313317540426,34.6173653311361
"219","MA","Pembroke","Municipality",5803.99,2216.27,NA,NA,900,NA,6686,6544,6544,NA,-1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,847.0107,119827,134281.499322595,0.367,2.4872940089327,57.5542892345603,39.958416756507
"220","MA","Peru","Municipality",207.53,66,NA,NA,NA,NA,380,335,335,NA,1,1,NA,0,0,0,1,1,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,28.22823,71979,84800.6153846154,0.3654,7.91738382099828,69.8795180722892,22.2030981067126
"221","MA","Petersham","Municipality",216.76,130,NA,NA,NA,NA,495,294,294,NA,1,1,NA,0,0,0,0,1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,21.05737,72596,93157.2043010753,0.4078,5.69105691056911,55.0522648083624,39.2566782810685
"222","MA","Phillipston","Municipality",192.63,92.49,NA,NA,NA,NA,803,392,392,NA,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,NA,NA,NA,NA,78.96904,86477,92503.6179450072,0.3504,10.0957995578482,67.9439941046426,21.9602063375092
"223","MA","Pittsfield","Municipality",17440,1962.92,NA,NA,NA,NA,13741,13617,13617,NA,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1050.548,56620,75246.0203439597,0.461,7.3872399357905,61.4365301690221,31.1762298951874
"224","MA","Plainfield","Municipality",106.21,53.13,NA,NA,NA,NA,312,216,216,NA,1,1,NA,0,0,0,1,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,32.57048,65417,88855.3633217993,0.4539,3.6144578313253,50.4016064257028,45.9839357429719
"225","MA","Plainville","Municipality",1569,859.59,NA,NA,441,NA,4043,2389,2389,NA,-1,-1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,NA,NA,NA,NA,839.7548,93388,110213.442447008,0.3842,3.21866233574487,55.1159013730991,41.6654362911561
"226","MA","Plymouth","Municipality",2519.61,1275.2,NA,NA,1000,NA,32340,4355,5088,NA,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,NA,NA,NA,NA,632.5031,92757,119795.268720301,0.4334,4.81098919938282,55.273872792731,39.9151380078862
"228","RI","Portsmouth","Municipality",1648,1923,NA,NA,NA,NA,NA,2566,2566,NA,1,1,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,1,NA,NA,752.7344,99157,135779.901558655,0.4793,4.31540536252578,40.0920196731715,55.5925749643027
"230","MA","Princeton","Municipality",NA,NA,NA,NA,NA,NA,1257,0,0,NA,NA,NA,NA,0,0,0,1,0,0,1,1,0,0,0,0,0,1,NA,NA,NA,NA,97.82201,129097,161709.944751381,0.4192,2.82021151586369,35.5268311790051,61.6529573051312
"231","RI","Providence","Municipality",70917,12739,NA,NA,NA,NA,NA,55000,55000,NA,-1,-1,NA,0,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,0,NA,NA,9750.81,49065,74500.9300514099,0.5263,17.2770714994139,50.4499143449644,32.2730141556217
"232","MA","Quincy","Municipality",32467.65,5742.78,NA,NA,1182.6,NA,45000,33500,45000,NA,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,5695.465,80462,97700.2032815449,0.4326,10.8292349726776,43.5341530054645,45.6366120218579
"233","MA","Randolph","Municipality",11105,2556,NA,NA,1469,NA,12253,9526,9526,NA,-1,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,3481.165,87803,105254.967169779,0.4332,15.3562048588313,57.0748522652659,27.5689428759028
"234","MA","Raynham","Municipality",742.06,796.1,NA,NA,NA,NA,4562,1190,1190,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,700.5823,105203,119606.326758467,0.4216,6.51857600155204,52.1680085362305,41.3134154622175
"235","MA","Reading","Municipality",7585.39,2805.72,NA,NA,4123.7,NA,8895,8293,8293,NA,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2529.705,131515,147301.216129721,0.4027,2.93300744361738,33.6462615264971,63.4207310298856
"236","MA","Revere","Municipality",18989.65,3697.73,NA,NA,760.67,NA,27269,20452,20452,NA,-1,-1,-1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,9362.095,68331,82948.1002425222,0.4491,16.2580847068642,59.64166492802,24.1002503651158
"237","RI","Richmond","Municipality",1428,1134,NA,NA,NA,NA,NA,2500,2500,NA,0,0,NA,NA,0,1,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,0,NA,NA,191.5341,98940,115271.031882071,0.3304,3.1055900621118,59.5031055900621,37.3913043478261
"238","MA","Rochester","Municipality",2313.87,589.43,NA,NA,0,0,1984,1984,1984,0,0,0,NA,0,1,1,1,0,0,1,0,1,0,1,0,0,1,NA,NA,NA,NA,168.1779,107212,143346.905370844,0.3968,4.28237736828445,42.0970672203478,53.6205554113678
"239","MA","Rockland","Municipality",4554,1386.86,NA,NA,500,NA,5445,5075,5445,NA,-1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1795.753,80783,93312.1510431972,0.3943,4.17295922422701,62.6977187822908,33.1293219934822
"241","MA","Rockport","Municipality",2090.93,1032.18,NA,NA,NA,NA,4922,3125,3125,NA,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,NA,NA,NA,NA,1040.258,87149,110613.580246914,0.4406,3.76117389104402,37.1394838927306,59.0993422162253
"242","MA","Rowe","Municipality",127.87,68.35,NA,NA,NA,NA,216,184,184,NA,1,1,NA,0,0,0,1,1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,18.98577,65625,79613.2183908046,0.4259,9.375,62.5,28.125
"243","MA","Russell","Municipality",245.37,84.86,NA,NA,NA,NA,563,420,420,NA,1,1,NA,0,0,0,0,1,0,0,0,1,1,0,0,1,1,NA,NA,NA,NA,87.22193,77578,84384.8434925865,0.3204,3.35249042145594,71.360153256705,25.2873563218391
"245","MA","Salem","Municipality",12004.11,4117.21,NA,NA,585.29,190.04,20981,17000,17000,NA,-1,-1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,NA,NA,NA,NA,5226.755,66428,86905.6300408505,0.4702,8.62577789183294,46.266119201899,45.108102906268
"247","MA","Saugus","Municipality",9793.74,2435.41,NA,NA,248.4,NA,10662,8758,8758,NA,-1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2628.833,88463,109130.414746544,0.4427,9.16282135794331,62.1574536208683,28.6797250211884
"248","MA","Savoy","Municipality",100.17,36.98,NA,NA,NA,NA,293,164,164,NA,1,1,NA,0,0,0,1,1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,19.5516,47200,67821.835443038,0.4338,11.2380952380952,64.1904761904762,24.5714285714286
"250","MA","Scituate","Municipality",5497,5194.74,NA,NA,NA,NA,7850,5237,5237,NA,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,NA,NA,NA,NA,1094.507,122241,175802.590944779,0.4721,3.11973018549747,36.544406970208,60.3358628442946
"251","RI","Scituate","Municipality",3900,1629,NA,NA,NA,NA,NA,3756,3756,NA,-1,-1,NA,0,0,1,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,221.6537,95907,118402.659834065,0.3862,3.24062577601192,64.9615098087907,31.7978644151974
"252","MA","Seekonk","Municipality",3230.86,1541.85,NA,NA,135,NA,5306,5146,5146,NA,-1,-1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,NA,NA,NA,NA,848.7458,94611,117967.40516952,0.4066,6.72117039586919,52.013769363167,41.2650602409639
"254","MA","Sharon","Municipality",4692.08,2557.64,NA,NA,NA,NA,6686,5376,5376,NA,-1,-1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,796.4914,144142,196728.376492479,0.4469,2.67926886423996,25.2460553038588,72.0746758319013
"255","MA","Sheffield","Municipality",636.68,237.56,NA,NA,NA,NA,1703,849,858,NA,1,1,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,66.35719,68676,99468.5734463277,0.4688,8.26446280991736,63.7150728059819,28.0204643841007
"256","MA","Shelburne","Municipality",257.69,123.42,NA,NA,NA,NA,607,503,503,NA,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,NA,NA,NA,NA,60.93083,65821,85924.2636746143,0.4599,0.76271186440678,43.8983050847458,55.3389830508475
"257","MA","Sherborn","Municipality",1598.31,721.15,NA,NA,NA,38.25,1456,1456,1456,NA,1,1,NA,1,0,0,1,1,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,273.8792,216406,241885.588633288,0.4187,0.654946570148225,14.7880041365047,84.5570492933471
"258","MA","Shirley","Municipality",1130.94,362.85,NA,NA,25,NA,2500,1654,1654,NA,-1,-1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,NA,NA,NA,NA,481.4928,89247,108423.739332816,0.4223,10.1310891730053,61.9841398284512,27.8847709985435
"259","MA","Shutesbury","Municipality",353.93,197.02,NA,NA,NA,NA,814,814,810,NA,-1,-1,NA,0,0,0,1,1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,71.09739,85000,102333.463541667,0.3788,1.27569099929128,24.7342310418143,73.9900779588944
"260","RI","Smithfield","Municipality",5984,4646,NA,NA,NA,NA,NA,7465,7465,NA,-1,0,NA,0,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,828.5881,86991,100286.570590486,0.4062,9.09153665608173,55.0117354687284,35.8967278751898
"261","MA","Somerset","Municipality",4089.74,2479,NA,NA,NA,NA,6944,6944,6944,NA,0,-1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,2298.799,90260,111100.449564484,0.4335,8.56956427173204,61.0744580584354,30.3559776698325
"262","MA","Somerville","Municipality",18846.21,7692.92,NA,NA,NA,NA,28000,26250,26250,NA,-1,-1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,19690.25,102311,124128.267637902,0.4262,8.64054728423418,25.7084786093164,65.6509741064494
"263","RI","South Kingstown","Municipality",5048,4858,NA,NA,NA,NA,NA,9380,9380,NA,0,0,NA,0,0,1,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,0,NA,NA,543.7435,96526,113381.970452621,0.4204,5.36319356204998,39.135959339263,55.500847098687
"265","MA","Southampton","Municipality",689.48,383.66,NA,NA,54,0,2275,976,976,NA,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,NA,NA,NA,NA,219.1163,104052,122548.715753425,0.432,4.78231445973381,55.6508008120911,39.566884728175
"266","MA","Southbridge","Municipality",5136,1266,NA,NA,NA,NA,7303,6587,6587,NA,-1,-1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,NA,NA,NA,NA,833.3218,52900,68959.5710059172,0.452,15.9298245614035,67.4912280701754,16.5789473684211
"267","MA","Southwick","Municipality",2259,1095.25,NA,NA,180,NA,3536,2012,2035,NA,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,NA,NA,NA,NA,315.4606,84896,103110.95890411,0.4191,6.53683780471197,56.5572654228517,36.9058967724363
"268","MA","Spencer","Municipality",1228,NA,NA,NA,NA,NA,3796,1812,0,NA,1,NA,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,NA,NA,NA,NA,363.5176,70265,83176.4958936253,0.412,10.5629211041078,68.6155183655727,20.8215605303195
"269","MA","Springfield","Municipality",45840.04,8579.57,NA,NA,9433.4,NA,61000,40000,40000,NA,-1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,NA,NA,NA,NA,4822.023,41571,57891.4724315189,0.4757,21.0818610251832,59.9269209209625,18.9912180538543
"271","MA","Sterling","Municipality",2302.2,955.22,NA,NA,NA,NA,3400,3200,3200,NA,-1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,265.5476,122810,142986.764237989,0.4111,3.22149891503923,42.230011684193,54.5484894007678
"272","MA","Stoneham","Municipality",6272.7,2166.93,NA,NA,1800,NA,9500,6700,6700,NA,-1,-1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,3927.708,103104,123046.322108048,0.4088,4.33973961562306,46.6775629825847,48.9826974017923
"273","MA","Sturbridge","Municipality",570,463.22,NA,NA,13.5,0,3751,1882,1882,NA,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,256.7511,93175,111317.740203972,0.4013,5.02452802140627,52.6386204846142,42.3368514939795
"274","MA","Sudbury","Municipality",679.49,442.84,NA,NA,1.13,NA,6588,894,1764,NA,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,NA,NA,NA,NA,792.9877,195073,236122.901126805,0.4062,1.13874979809401,19.205298013245,79.655952188661
"275","MA","Sunderland","Municipality",NA,NA,NA,NA,NA,NA,896,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,256.1819,54524,70160.4607721046,0.4265,1.2591389114541,50.7311129163282,48.0097481722177
"276","MA","Sutton","Municipality",565,328.37,NA,NA,5.72,1.5,3690,1217,1217,NA,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,293.2627,109375,145749.746192893,0.4313,3.65655070318283,56.1509992598076,40.1924500370096
"277","MA","Swampscott","Municipality",4000.73,1931.14,NA,NA,NA,74.5,5745,5125,5125,NA,-1,-1,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,5024.586,102898,146112.341197822,0.5034,2.56526468455402,38.2704858593183,59.1642494561276
"278","MA","Swansea","Municipality",3875.8,2211.11,NA,NA,NA,NA,6448,6137,6137,NA,-1,-1,-1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,736.0505,95945,103446.291793313,0.3721,10.2789094327797,61.7909746161078,27.9301159511125
"279","MA","Taunton","Municipality",12777.28,5065.96,NA,NA,2245.24,NA,20408,16709,19872,NA,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,NA,NA,NA,NA,1227.348,63433,81482.3572043303,0.4423,15.5113451985722,61.8257157834303,22.6629390179976
"280","MA","Tewksbury","Municipality",10008,2845.38,NA,NA,654,NA,10056,10056,10056,NA,-1,-1,-1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1503.291,104610,119886.960167715,0.3872,5.42000771836542,56.4769949830625,38.1029972985721
"281","MA","Tisbury","Municipality",1278,1604,NA,NA,NA,NA,2511,2511,956,NA,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,NA,NA,NA,NA,633.8146,52711,68629.1925465839,0.3788,6.45161290322581,55.425219941349,38.1231671554252
"282","RI","Tiverton","Municipality",6642,2643,NA,NA,NA,NA,NA,6525,6525,NA,0,0,NA,0,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,0,NA,NA,541.3697,83710,103025.387476751,0.4136,7.546701934204,57.5632335923293,34.8900644734667
"283","MA","Topsfield","Municipality",1896.06,386.03,NA,NA,162,11.25,2161,2161,2161,NA,-1,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,555.7825,144258,162810.884668828,0.3694,2.09346584901671,32.2478325227321,65.6587016282512
"284","MA","Tyngsborough","Municipality",3822,1080.98,NA,NA,NA,NA,4387,3791,3791,NA,-1,-1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,740.6537,115280,143381.122080424,0.4485,5.32265661799341,52.1078662270372,42.5694771549694
"285","MA","Tyringham","Municipality",160.92,75.06,NA,NA,NA,NA,277,204,204,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,27.53104,100313,136775.879396985,0.4692,1.25944584382872,41.8136020151133,56.9269521410579
