Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004,SE_A14006_001,SE_A14008_001,SE_A14028_001
"12063","Jackson County, Florida","ACSSF","fl","050","00","0000043",,,,,"12","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12063","Jackson County",,,,47409,47409,51.6333,918.186407041268,17533,11459,8261,3198,852,2346,6074,2666,3408,34910,6217,24175,4518,40754,55447.578851309,0.4636
"12065","Jefferson County, Florida","ACSSF","fl","050","00","0000044",,,,,"12","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12065","Jefferson County",,,,14278,14278,23.87308,598.079459827613,5643,3796,2749,1047,331,716,1847,842,1005,10993,1913,6515,2565,49081,66194.1520467836,0.4646
"12067","Lafayette County, Florida","ACSSF","fl","050","00","0000045",,,,,"12","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12067","Lafayette County",,,,8576,8576,15.78372,543.34472592151,2315,1655,1099,556,269,287,660,248,412,6069,1629,3877,563,51734,58203.7149028078,0.3888
"12069","Lake County, Florida","ACSSF","fl","050","00","0000046",,,,,"12","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12069","Lake County",,,,356115,356115,374.2466,951.551664332036,137446,94332,74667,19665,5517,14148,43114,17573,25541,264159,26474,173272,64413,55792,72947.6550790856,0.429
"12071","Lee County, Florida","ACSSF","fl","050","00","0000047",,,,,"12","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12071","Lee County",,,,756570,756570,968.7089,781.008665677216,288916,187877,148870,39007,12089,26918,101039,46815,54224,571266,61398,347156,162712,59608,84303.3608384444,0.4777
"12073","Leon County, Florida","ACSSF","fl","050","00","0000048",,,,,"12","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12073","Leon County",,,,291863,291863,436.6399,668.429524769999,116530,61961,42278,19683,4557,15126,54569,24196,30373,174667,11553,81725,81389,54675,77493.0447095169,0.4942
"12075","Levy County, Florida","ACSSF","fl","050","00","0000049",,,,,"12","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12075","Levy County",,,,40979,40979,36.64655,1118.22257091539,16971,10747,7940,2807,808,1999,6224,3132,3092,30126,4143,21736,4247,38951,53119.9340050675,0.4583
"12077","Liberty County, Florida","ACSSF","fl","050","00","0000050",,,,,"12","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12077","Liberty County",,,,8333,8333,9.972912,835.563358594712,2513,1602,1110,492,203,289,911,512,399,6009,1228,3965,816,39121,52512.8531635495,0.4544
"12079","Madison County, Florida","ACSSF","fl","050","00","0000051",,,,,"12","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12079","Madison County",,,,18557,18557,26.64211,696.528916736294,6891,4075,2744,1331,307,1024,2816,1421,1395,13744,2768,9076,1900,35240,50347.4967348716,0.502
"12081","Manatee County, Florida","ACSSF","fl","050","00","0000052",,,,,"12","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12081","Manatee County",,,,393847,393847,530.2468,742.761742525448,150345,99157,78779,20378,5860,14518,51188,20883,30305,295965,31324,175267,89374,59963,86302.3672220559,0.48
"12083","Marion County, Florida","ACSSF","fl","050","00","0000053",,,,,"12","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12083","Marion County",,,,360210,360210,226.7722,1588.42202512135,145863,94676,70904,23772,7115,16657,51187,21888,29299,268804,32277,180947,55580,46587,64244.5712757862,0.4598
"12085","Martin County, Florida","ACSSF","fl","050","00","0000054",,,,,"12","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12085","Martin County",,,,160420,160420,294.9865,543.821540485902,64870,40162,32803,7359,2016,5343,24708,10789,13919,124381,10654,72072,41655,65821,102035.102512718,0.5174
