"","Municipality","Households","Households w/ Trash and Recycling","% of Households Served by Municipality","Trash Tonnage","Recycling Tonnage","Food Waste","Yard Waste","Trash Service Type","Provide Trash Bins","Recycling Service Type","RecyclingBins","Food Waste Service Type","Municipal Buildings Trash and Recycling Service","School Trash and Recycling Service","Business Trash and Recycling Service","Non-resident Trash and Recycling Service","Property Tax","Annual Fee","Transfer Station Access Fee","Per-Visit Fee","PAYT/SMART","Enforced Mandatory Recycling","Dedicated Mandatory Recycling Enforcement Personnel","Private Hauler regulations that require recycling","Swap-Shop","Compost Bin Distribution Program"
"307","Uxbridge","5500",0,0,0,0,NA,NA,"None",NA,"None",NA,"None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,NA,"Yes","No","Yes",NA,"Yes"
"308","Wakefield","8925",7242,0.811428571428571,7742.86,2150.15,NA,"2000","Curbside","Yes","Curbside",NA,"None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","Yes",NA,NA,"Yes"
"310","Walpole","8510",7432,0.873325499412456,8298.16,1764.17,NA,NA,"Curbside",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Waltham","23000",19170,0.833478260869565,19036.51,4685.45,NA,NA,"Curbside",NA,"Curbside","Yes","None","Both","Both","Recycling","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","Wareham","12380",0,0,0,75.3,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Both","Neither","Neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","Warren","2042",599,0.29333986287953,487,314.06,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Both","Yes",NA,"Yes",NA,NA,NA,NA,NA,NA,NA
"315","Warwick","362",300,0.828729281767956,109.63,74.26,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA,"Yes"
"317","Watertown","13652",10000,0.732493407559332,9388.52,2982.37,NA,"1067","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes"
"318","Wayland","5885",1845,0.313508920985556,733.39,803.19,NA,"1080","Drop-off",NA,"Drop-off",NA,"None","Both","Both","Neither","Neither",NA,NA,"Yes","Yes","Yes",NA,NA,NA,"Yes","Yes"
"320","Wellesley","9339",9339,1,5246,3424,"109","613","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Recycling","Both","Both","Yes",NA,NA,NA,NA,NA,NA,NA,"Yes",NA
"321","Wellfleet","3669",3309,0.901880621422731,1428,1101.47,"4.4000000000000004","1000","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Both","Both","Yes","Yes",NA,NA,NA,"Yes","No",NA,"Yes","Yes"
"322","Wendell","376",352,0.936170212765957,211.5,96.21,"3.5",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,"Yes","Yes"
"323","Wenham","1419",1345,0.94785059901339,923.3,660.26,"208.2",NA,"Curbside","Yes","Curbside",NA,"Curbside","Both","Neither","Both","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA,NA
"324","West Boylston","2903",2488,0.857044436789528,1486.85,729.09,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,"Yes","Yes"
"325","West Bridgewater","3226",1820,0.564166150030998,2437.37,583.19,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,NA,NA,NA,NA,NA,NA
"328","West Springfield","12500",8860,0.7088,7400.46,2150.07,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","Yes",NA,NA,NA
"330","West Tisbury","1474",623,0.422659430122117,187,146,"4",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Neither","Both",NA,NA,NA,NA,"Yes","Yes","No",NA,"Yes",NA
"331","Westborough","5514",4137,0.750272034820457,5191,1463.91,"3.79",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Recycling","Neither","Neither","Neither","Yes",NA,"Yes",NA,NA,"Yes",NA,NA,NA,NA
"332","Westfield","16143",16143,1,11328.13,3482.66,"0","0","Both","Yes","Both","Yes","None","Neither","Neither","Neither","Neither","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA
"333","Westford","8018",8018,1,8212,2547.25,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes"
"334","Westhampton","692",387,0.559248554913295,275.24,149.95,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No",NA,"Yes","Yes"
"335","Westminster","2987",2844,0.952125878808169,2795.72,1013.91,NA,NA,"None",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,"Yes",NA
"336","Weston","3600",1675,0.465277777777778,1455.9,983.97,"3.27","691.14","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Recycling","Neither","Neither","Yes","Yes",NA,NA,NA,NA,NA,NA,"Yes",NA
"337","Westport","7019",1950,0.277817352899273,920.33,611.8,NA,"20","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Both","Yes",NA,NA,NA,NA,"Yes",NA,"Yes",NA,NA
"339","Weymouth","20562",17612,0.856531465810719,17175.31,5665,NA,"5326","Both","Yes","Both","Yes","None","Both","Both","Recycling","Neither",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA
"340","Whately","602",460,0.764119601328904,161.2,100.79,"42",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,"Yes","Yes"
"341","Whitman","5238",4639,0.885643375334097,3755.09,1447.85,NA,"1200","Curbside","Yes","Curbside","Yes","None","Both","Neither","Neither","Neither",NA,"Yes",NA,NA,NA,"Yes","No",NA,NA,"Yes"
"342","Wilbraham","5729",1655,0.28888113108745,663,1008.25,NA,"351","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Both",NA,NA,"Yes",NA,"Yes",NA,NA,NA,NA,NA
"343","Williamsburg","1137",866,0.761653474054529,571.35,266.7,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,NA,"Yes","No",NA,NA,"Yes"
"344","Williamstown","2252",1133,0.503108348134991,434.27,150086.28,NA,"10.8","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Recycling","Neither","Yes",NA,"Yes","Yes","Yes","Yes",NA,"Yes",NA,"Yes"
"345","Wilmington","7378",7378,1,7385,2725.1,NA,"826","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","No",NA,NA,"Yes"
"346","Winchendon","4435",934,0.210597519729425,614.2,568.04,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Both",NA,"Yes",NA,NA,"Yes",NA,NA,NA,NA,NA
"347","Winchester","7869",5082,0.645825390773923,5867,2548.9,"17","140.4","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Both","Neither",NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes","Yes"
"348","Windsor","400",392,0.98,172.69,76.71,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes","No",NA,"Yes","Yes"
"350","Woburn","12076",11378,0.942199403776085,14341.73,2238.7,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","Worcester","67000",53000,0.791044776119403,25321,11381.86,NA,"5322.51","Curbside",NA,"Both",NA,"None","Both","Neither","Recycling","Neither","Yes",NA,NA,NA,"Yes","Yes","Yes",NA,NA,"Yes"
"352","Worthington","532",383,0.719924812030075,274.82,122.97,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No",NA,NA,"Yes"
"353","Wrentham","4300",4081,0.94906976744186,3133.05,1475.8,NA,"81","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA,NA
"354","Yarmouth","15388",9495,0.6170392513647,9301,15489.47,"0","162","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Trash",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA
