"","Municipality","Households","Households w/ Trash and Recycling","% of Households Served by Municipality","Trash Tonnage","Recycling Tonnage","Food Waste","Yard Waste","E-Waste","C&D","Trash Service Type","Provide Trash Bins","Recycling Service Type","Recycling Collection Frequency","RecyclingBins","Food Waste Service Type","Municipal Buildings Trash and Recycling Service","School Trash and Recycling Service","Business Trash and Recycling Service","Non-resident Trash and Recycling Service","Property Tax","Annual Fee","Transfer Station Access Fee","Per-Visit Fee","PAYT/SMART","Enforced Mandatory Recycling","Dedicated Mandatory Recycling Enforcement Personnel","Compost Bin Distribution Program","diversion"
"74","Danvers","15672",7738,0.493746809596733,6749.4,2645.33,NA,NA,NA,NA,"Both",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.281575947366236
"75","Dartmouth","11563",10125,0.875637810256854,5986.79,3247.99,NA,"1324.34","39.450000000000003","613","Both",NA,"Both","Weekly","Yes","None","Recycling","Recycling","Recycling","Neither",NA,"Yes","Yes","Yes","Yes","Yes","No","Yes",0.351712764137316
"76","Dedham","8700",8700,1,6840.28,2765.51,NA,NA,NA,NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.287900318453766
"77","Deerfield","1762",1294,0.734392735527809,620.3,356.1,"83","50",NA,NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.36470708725932
"78","Dennis","14347",7004,0.488185683418136,4253,2216,"10","2907","29","964","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Recycling","Neither","Recycling","Both",NA,"Yes",NA,"Yes","No",NA,NA,"Yes",0.342556809398671
"79","Devens","171",0,0,43.93,88.42,NA,"16.88","1.55",NA,"None",NA,"Drop-off",NA,"No","None","Both","Both","Recycling","Recycling","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.668077068379297
"80","Dighton","2885",2785,0.965337954939341,2050.45,1070.24,NA,"5.4","7.5",NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes",NA,NA,NA,0.342949796359138
"81","Douglas","3173",1320,0.416010085092972,1313,357.62,NA,NA,"13",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither",NA,NA,"Yes",NA,"No",NA,NA,"Yes",0.214064239623613
"82","Dover","2150",2150,1,1304.5,720.9,"39.700000000000003",NA,"16.5",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Neither","Neither","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.355929692900168
"83","Dracut","12213",10619,0.869483337427332,10522,3183.25,NA,"1010","4.8600000000000003",NA,"Curbside","Yes","Both","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.232265007934915
"84","Dudley","3659",790,0.215905985241869,662,170,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Neither","Neither",NA,"Yes","Yes",NA,"No",NA,NA,NA,0.204326923076923
