"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.1228","0.0747","1600000US3711560","Centerville CDP, North Carolina"
"0.6359","0.2033","1600000US3711620","Cerro Gordo town, North Carolina"
"0.5391","0.0775","1600000US3711640","Chadbourn town, North Carolina"
"0.5483","0.0191","1600000US3711800","Chapel Hill town, North Carolina"
"0.4974","0.0064","1600000US3712000","Charlotte city, North Carolina"
"0.4218","0.0619","1600000US3712140","Cherokee CDP, North Carolina"
"0.3052","0.0732","1600000US3712186","Cherry Branch CDP, North Carolina"
"0.4157","0.0465","1600000US3712340","Cherryville city, North Carolina"
"0.4565","0.1565","1600000US3712460","Chimney Rock Village village, North Carolina"
"0.5041","0.1326","1600000US3712480","China Grove town, North Carolina"
"-","**","1600000US3712520","Chinquapin CDP, North Carolina"
"0.4216","0.0514","1600000US3712580","Chocowinity town, North Carolina"
"0.4545","0.0886","1600000US3712590","Chowan Beach CDP, North Carolina"
"0.4038","0.0483","1600000US3712720","Claremont city, North Carolina"
"0.5171","0.0835","1600000US3712780","Clarkton town, North Carolina"
"0.4351","0.0363","1600000US3712860","Clayton town, North Carolina"
"0.4218","0.0222","1600000US3712960","Clemmons village, North Carolina"
"0.3635","0.0620","1600000US3713000","Cleveland town, North Carolina"
"0.2899","0.1248","1600000US3713100","Cliffside CDP, North Carolina"
"0.5672","0.0368","1600000US3713240","Clinton city, North Carolina"
"0.3555","0.0681","1600000US3713280","Clyde town, North Carolina"
"0.3843","0.0425","1600000US3713360","Coats town, North Carolina"
"0.3760","0.0712","1600000US3713460","Cofield village, North Carolina"
"0.3212","0.2304","1600000US3713500","Coinjock CDP, North Carolina"
"0.4399","0.0791","1600000US3713560","Colerain town, North Carolina"
"0.4368","0.0696","1600000US3713940","Columbia town, North Carolina"
"0.4366","0.0990","1600000US3713980","Columbus town, North Carolina"
"0.4136","0.1295","1600000US3714060","Como town, North Carolina"
"0.4623","0.0252","1600000US3714100","Concord city, North Carolina"
"0.3071","0.1343","1600000US3714200","Conetoe town, North Carolina"
"0.5069","0.0943","1600000US3714280","Connelly Springs town, North Carolina"
"0.4374","0.0392","1600000US3714340","Conover city, North Carolina"
"0.5308","0.1111","1600000US3714400","Conway town, North Carolina"
"0.4217","0.0535","1600000US3714460","Cooleemee town, North Carolina"
"0.3856","0.0898","1600000US3714600","Cordova CDP, North Carolina"
"0.5136","0.0349","1600000US3714700","Cornelius town, North Carolina"
"0.4301","0.1266","1600000US3715020","Cove City town, North Carolina"
"0.3644","0.0879","1600000US3715040","Cove Creek CDP, North Carolina"
"0.3960","0.0516","1600000US3715260","Cramerton town, North Carolina"
"0.3305","0.0432","1600000US3715320","Creedmoor city, North Carolina"
"0.6649","0.2442","1600000US3715420","Creswell town, North Carolina"
"0.3501","0.0668","1600000US3715440","Cricket CDP, North Carolina"
"0.2042","0.0881","1600000US3715580","Crossnore town, North Carolina"
"0.2266","0.1391","1600000US3715640","Crouse CDP, North Carolina"
"0.4708","0.0509","1600000US3715880","Cullowhee CDP, North Carolina"
"0.4204","0.0802","1600000US3716084","Cypress Landing CDP, North Carolina"
"0.4482","0.0464","1600000US3716180","Dallas town, North Carolina"
"0.3939","0.0623","1600000US3716220","Dana CDP, North Carolina"
"0.2593","0.1542","1600000US3716240","Danbury town, North Carolina"
